side,entry_date,exit_date,qty,entry_price,entry_fill,stop,exit_fill,reason,target_sma,entry_equity,pnl,return_on_equity,entry_cost,exit_cost
SHORT,1997-01-16,1997-01-16,34133,1.7285150289535522,1.7276507714390756,1.6992180347442627,1.7293792864680289,STOP_ENTRY_DAY,1.54221963314783,100000.0,-82.59940348326009,-0.0008259940348326009,23.6,23.6
SHORT,1997-03-04,1997-03-04,2554786,2.2947258949279785,2.293578531980515,2.294334888458252,2.295873257875442,STOP_ENTRY_DAY,1.7822865418025426,99893.80059651675,-5886.133590197728,-0.058923912745822336,23.6,23.6
SHORT,1998-04-10,1998-04-10,17185,8.78125,8.776859375,8.726561546325684,8.785640625,STOP_ENTRY_DAY,6.809504804157076,93984.06700631976,-174.50578124997264,-0.0018567592019425843,23.6,23.6
SHORT,1999-01-18,1999-01-19,1474,15.965429306030273,15.95744659137726,16.6015625,16.60986328125,STOP,12.546911784580775,93785.96122506977,-985.26220087242,-0.010505433734458022,23.6,23.6
SHORT,1999-01-21,1999-01-21,1814,17.390625,17.3819296875,16.879295349121094,17.3993203125,STOP_ENTRY_DAY,13.066675458635602,92777.09902419735,-55.146593749995155,-0.0005943987722186946,23.6,23.6
SHORT,1999-01-22,1999-01-22,716,19.523046493530273,19.51328497028351,18.229686737060547,19.532808016777036,STOP_ENTRY_DAY,13.386392684209914,92698.35243044735,-37.57850128936389,-0.00040538478089521037,23.6,23.6
SHORT,1999-07-16,1999-07-16,853,37.890625,37.8716796875,38.9765625,38.99605078125,STOP_ENTRY_DAY,29.207719530378068,92637.17392915799,-982.6885429687499,-0.010607928775118257,23.6,23.6
SHORT,1999-07-19,1999-07-19,5864,40.390625,40.3704296875,40.546875,40.567148437499995,STOP_ENTRY_DAY,29.941145942324685,91630.88538618924,-1177.1587499999716,-0.012846746433134378,23.6,23.6
SHORT,2000-01-04,2000-01-04,98,131.25,131.18437500000002,122.0718765258789,131.31562499999998,STOP_ENTRY_DAY,89.27511160714286,90430.12663618929,-36.46249999999666,-0.00040321186485439144,23.6,23.6
