symbol,slippage_bps_baseline,brokerage_per_order_baseline,trade_count_baseline,final_return_baseline,max_drawdown_baseline,sharpe_ratio_baseline,win_rate_baseline,profit_factor_baseline,expectancy_per_trade_baseline,slippage_bps_stress,brokerage_per_order_stress,trade_count_stress,final_return_stress,max_drawdown_stress,sharpe_ratio_stress,win_rate_stress,profit_factor_stress,expectancy_per_trade_stress
^NSEI,5.0,20.0,0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,40.0,0,0.0,0.0,0.0,0.0,0.0,0.0
RELIANCE.NS,5.0,20.0,2,-0.04518567406211671,-0.04518567406211671,-0.2301725324367301,0.0,0.0,-2235.6837031056198,20.0,40.0,2,-0.14834854043061174,-0.14834854043061174,-0.201169680304153,0.0,0.0,-7370.227021530211
HDFCBANK.NS,5.0,20.0,1,-0.0006567862068936892,-0.0006567862068936892,-0.1807191440335465,0.0,0.0,-42.07862068938798,20.0,40.0,1,-0.001683144827575589,-0.001683144827575589,-0.1807191440335465,0.0,0.0,-121.11448275756798
ICICIBANK.NS,5.0,20.0,0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,40.0,0,0.0,0.0,0.0,0.0,0.0,0.0
INFY.NS,5.0,20.0,9,-0.09629935863810712,-0.09629935863810712,-0.2810984504028166,0.0,0.0,-1046.3928737568287,20.0,40.0,9,-0.2833472649300698,-0.2833472649300698,-0.22766215908935983,0.0,0.0,-3101.1029436674494
TCS.NS,5.0,20.0,1,0.05877170000000009,-0.022580416769598655,0.32714769222730733,1.0,inf,5900.77,20.0,40.0,1,0.05783080000000007,-0.02259132675951303,0.3233165015498179,1.0,inf,5830.280000000001
SBIN.NS,5.0,20.0,2,-0.026137188858848526,-0.026137188858848526,-0.23969065060195566,0.0,0.0,-1283.2594429425094,20.0,40.0,2,-0.0719522580677795,-0.0719522580677795,-0.25372470870280756,0.0,0.0,-3550.4129033890376
