side,entry_date,exit_date,qty,entry_price,entry_fill,stop,exit_fill,reason,target_sma,entry_equity,pnl,return_on_equity,entry_cost,exit_cost
LONG,2001-09-18,2001-09-18,52995,14.718925476074219,14.726284938812254,14.737794876098633,14.711566013336183,STOP_ENTRY_DAY,18.065503665379115,100000.0,-803.629455604389,-0.008036294556043891,23.6,23.6
SHORT,2004-01-15,2004-01-15,11679,63.9707145690918,63.93872921180726,64.05562591552734,64.08765372848511,STOP_ENTRY_DAY,52.82458714076451,99172.77054439555,-1762.8894302806295,-0.017775942132134515,23.6,23.6
